PLAYER,TEAM,POSITION,ISOLATION_FREQ,ISOLATION_FGM,ISOLATION_FG%,PNR_HANDLER_FREQ,PNR_HANDLER_FGM,PNR_HANDLER_FG%,PNR_ROLL_FREQ,PNR_ROLL_FGM,PNR_ROLL_FG%,TRANSITION_FREQ,TRANSITION_FGM,TRANSITION_FG%,POST_UP_FREQ,POST_UP_FGM,POST_UP_FG%,SPOT_UP_FREQ,SPOT_UP_FGM,SPOT_UP_FG%,HANDOFF_FREQ,HANDOFF_FGM,HANDOFF_FG%,CUT_FREQ,CUT_FGM,CUT_FG%,OFF_SCREEN_FREQ,OFF_SCREEN_FGM,OFF_SCREEN_FG%,PUTBACK_FREQ,PUTBACK_FGM,PUTBACK_FG%
LaMarcus Aldridge,SAS,C-F,0.032,0.3,0.415,0.0,0.0,0.0,0.194,1.7,0.496,0.04,0.3,0.589,0.427,3.4,0.506,0.069,0.8,0.415,0.0,0.0,0.0,0.079,0.4,0.667,0.013,0.1,0.474,0.086,0.6,0.592
Aaron Gordon,ORL,F,0.06,0.5,0.365,0.121,0.9,0.383,0.026,0.3,0.375,0.14,0.8,0.542,0.132,1.0,0.42,0.204,1.8,0.391,0.069,0.5,0.456,0.069,0.3,0.688,0.069,0.7,0.366,0.083,0.5,0.554
Frank Ntilikina,NYK,G,0.06,0.3,0.333,0.338,1.4,0.379,0.0,0.0,0.0,0.114,0.5,0.29,0.0,0.0,0.0,0.256,1.4,0.289,0.111,0.5,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
