PLAYER,TEAM,POSITION,PTS,FG%,3P%,OREB,DREB,AST,STL,BLK,+/-,AST%,AST/TO,OREB%,DREB%,TO RATIO,TS%,USG%,PIE
Jakob Poeltl,SAS,C,5.5,64.5,0.0,2.3,3.0,1.2,0.4,0.9,1.1,9.9,1.94,13.6,17.1,10.2,64.0,12.5,11.0
Damian Jones,GSW,C,5.4,71.6,0.0,1.3,1.8,1.2,0.5,1.0,0.7,8.4,1.75,8.6,9.9,11.9,72.0,11.3,7.2
Alex Abrines,OKC,G,5.3,35.7,32.3,0.2,1.4,0.6,0.5,0.2,0.9,4.7,1.43,0.7,6.7,7.1,50.7,12.0,4.1
Raul Neto,UTA,G,5.3,46.0,33.3,0.2,1.5,2.5,0.4,0.1,4.7,25.1,2.66,1.4,10.5,11.5,55.8,18.4,9.6
Troy Williams,SAC,F,5.3,44.9,31.8,0.6,2.2,0.5,0.5,0.4,-3.2,5.1,1.22,3.4,14.4,7.2,53.1,14.4,6.9
Treveon Graham,BKN,F,5.3,33.5,29.7,0.7,2.4,1.0,0.4,0.2,0.8,6.2,2.0,2.8,10.7,6.7,45.8,12.3,3.8
Tim Frazier,MIL,G,5.3,44.4,36.6,0.7,2.2,4.2,0.5,0.1,-1.1,28.6,3.26,3.5,10.6,12.5,54.4,13.2,8.1
Chandler Hutchison,CHI,F,5.2,45.9,28.0,0.7,3.5,0.8,0.5,0.1,-2.6,5.5,1.36,3.3,16.7,8.7,50.7,12.1,7.3
Royce O'Neale,UTA,F,5.2,47.5,38.6,0.3,3.2,1.5,0.7,0.3,2.1,10.2,1.77,1.3,14.6,12.6,58.9,10.8,7.3
Alex Poythress,ATL,F,5.1,49.4,39.1,1.4,2.2,0.8,0.2,0.5,-3.6,8.5,1.31,8.5,15.1,10.5,57.1,14.0,6.9
Brandon Sampson,CHI,G,5.1,46.7,37.9,0.2,0.9,0.7,0.6,0.2,-2.0,6.3,0.83,1.4,6.3,14.1,56.7,15.4,4.3
Jalen Jones,CLE,F,5.1,41.9,35.7,0.7,1.4,0.4,0.6,0.1,-1.6,5.0,0.88,5.0,11.3,8.9,54.8,16.2,5.4
Thon Maker,DET,F,5.0,40.7,32.0,0.6,2.5,0.7,0.3,0.8,-0.1,6.6,1.36,3.9,14.9,8.5,53.0,14.8,7.4
Keita Bates-Diop,MIN,F,5.0,42.3,25.0,0.5,2.2,0.6,0.6,0.5,-1.8,4.7,1.21,2.9,12.9,7.5,48.9,14.0,6.5
Anthony Tolliver,MIN,F,5.0,38.2,37.7,0.2,2.5,0.7,0.3,0.3,-1.0,5.9,1.28,1.2,14.3,9.9,57.1,12.1,6.4
Cameron Reynolds,MIN,G,5.0,42.3,41.2,0.2,1.4,0.7,0.3,0.1,-1.4,7.3,2.6,1.4,10.2,5.0,58.0,14.1,6.3
De'Anthony Melton,PHX,G,5.0,39.1,30.5,0.5,2.2,3.2,1.4,0.5,-3.4,21.4,2.12,2.5,11.4,14.9,46.6,14.7,6.3
Dragan Bender,PHX,F,5.0,44.7,21.8,0.7,3.2,1.2,0.4,0.5,-3.5,9.4,1.51,4.0,16.8,11.9,52.1,13.0,6.6
Wes Iwundu,ORL,F,5.0,41.2,36.7,0.5,2.2,1.1,0.4,0.3,0.5,8.0,1.66,2.7,10.8,10.0,53.1,12.5,5.6
Marcin Gortat,LAC,C,5.0,53.2,0.0,1.4,4.1,1.4,0.1,0.5,-2.1,12.3,1.3,8.9,25.3,15.5,56.2,14.8,9.7
Nerlens Noel,OKC,F-C,4.9,58.7,0.0,1.6,2.6,0.6,0.9,1.2,-1.0,6.7,0.94,10.5,17.6,11.9,60.8,13.7,12.2
Corey Brewer,SAC,G-F,4.9,43.1,31.8,0.8,1.6,1.3,1.0,0.2,0.0,10.7,2.05,4.5,9.8,9.5,53.2,13.0,6.3
Jared Dudley,BKN,F,4.9,42.3,35.1,0.6,2.1,1.4,0.6,0.3,0.6,9.3,1.93,2.7,9.6,11.1,55.4,10.4,4.9
Donte DiVincenzo,MIL,G,4.9,40.3,26.5,0.6,1.8,1.1,0.5,0.2,4.0,10.2,1.63,3.6,9.9,10.6,50.7,14.5,6.2
Khem Birch,ORL,C,4.8,60.3,0.0,1.6,2.2,0.8,0.4,0.6,0.9,8.7,1.9,11.2,16.6,8.1,64.0,13.6,11.6
Michael Carter-Williams,ORL,G,4.8,37.4,26.3,0.7,1.8,2.5,0.7,0.5,0.1,26.2,3.5,4.3,14.3,8.4,45.8,17.6,8.5
Troy Brown Jr.,WAS,F,4.8,41.5,31.9,0.7,2.1,1.5,0.4,0.1,0.0,14.7,2.67,4.5,14.9,8.2,48.7,15.8,7.7
Devonte' Graham,CHA,G,4.7,34.3,28.1,0.2,1.2,2.6,0.5,0.0,-2.2,26.6,4.03,1.3,7.8,7.8,45.9,16.6,6.8
Jonah Bolden,PHI,F,4.7,49.4,35.4,1.1,2.7,0.9,0.4,0.9,-0.7,8.5,1.11,6.7,17.3,14.3,59.5,13.1,7.2
Alfonzo McKinnie,GSW,F,4.7,48.7,35.6,1.1,2.3,0.4,0.3,0.2,0.2,4.1,1.03,7.5,15.2,8.4,56.9,13.1,6.5
John Jenkins,NYK,G,4.7,40.0,37.9,0.2,1.2,0.8,0.0,0.1,-1.9,10.5,2.44,1.8,8.3,6.3,53.6,16.0,7.4
Timothe Luwawu-Cabarrot,CHI,G-F,4.6,37.6,31.0,0.2,1.7,0.5,0.4,0.2,-4.2,5.7,1.24,1.5,12.5,7.5,48.9,15.6,4.9
Lance Thomas,NYK,F,4.5,39.6,27.8,0.5,2.1,0.6,0.4,0.2,-4.1,5.1,1.13,2.3,11.5,9.1,48.2,12.7,4.3
Jevon Carter,MEM,G,4.4,30.3,33.3,0.4,1.3,1.8,0.7,0.3,-2.3,18.4,2.09,2.3,9.0,10.9,43.2,17.2,5.3
Bismack Biyombo,CHA,C,4.4,57.1,0.0,1.5,3.1,0.6,0.2,0.8,-2.5,6.4,0.97,9.9,20.5,12.9,60.2,12.8,8.5
Shake Milton,PHI,G,4.4,39.1,31.8,0.5,1.3,0.9,0.4,0.4,-0.1,8.6,3.0,3.1,9.6,5.3,48.3,14.7,4.9
Solomon Hill,NOP,F,4.3,38.2,31.7,0.8,2.3,1.3,0.5,0.2,-2.9,8.0,1.77,3.6,10.2,11.1,49.7,10.4,4.2
Bruce Brown,DET,G,4.3,39.8,25.8,0.6,1.9,1.2,0.5,0.5,-0.1,8.7,1.98,3.2,9.2,9.7,46.9,11.3,3.7
Jaron Blossomgame,CLE,F,4.2,44.3,25.6,1.0,2.7,0.5,0.3,0.3,-1.6,4.3,1.18,5.5,16.2,8.1,51.0,12.0,7.8
Glenn Robinson III,DET,G-F,4.2,42.0,29.0,0.4,1.1,0.4,0.3,0.2,-0.2,5.3,1.17,2.6,8.9,7.7,51.1,14.6,5.8
Jerian Grant,ORL,G,4.2,41.8,36.4,0.3,1.3,2.6,0.7,0.1,-2.5,24.2,3.06,1.9,8.3,11.5,52.6,13.0,7.6
Ian Mahinmi,WAS,C,4.1,45.2,18.8,1.4,2.4,0.7,0.7,0.5,-1.0,7.3,1.19,8.8,16.1,11.9,53.1,12.8,6.8
Shaun Livingston,GSW,G,4.0,51.9,0.0,0.7,1.2,1.8,0.5,0.4,0.7,15.4,3.0,4.3,7.1,9.9,55.5,11.8,7.3
Courtney Lee,DAL,G,4.0,41.1,29.1,0.3,1.3,1.1,0.6,0.1,-1.6,13.0,2.64,1.9,10.5,7.4,49.2,15.0,6.8
Cristiano Felicio,CHI,F-C,4.0,53.1,0.0,1.3,2.3,0.6,0.2,0.1,-2.2,7.0,1.12,10.1,18.7,11.8,56.8,13.8,8.6
Pau Gasol,MIL,C-F,3.9,44.7,46.2,0.7,3.8,1.7,0.2,0.5,-1.1,20.9,3.25,5.8,30.4,8.8,52.9,15.1,13.0
Zaza Pachulia,DET,C,3.9,44.0,0.0,1.5,2.4,1.3,0.5,0.3,-1.4,16.1,1.6,10.1,18.4,14.4,53.9,14.7,8.8
Thabo Sefolosha,UTA,F,3.8,47.7,43.6,0.2,2.3,0.5,0.9,0.1,2.5,5.9,1.08,1.4,18.1,11.8,59.9,12.9,9.8
Rawle Alkins,CHI,G,3.7,33.3,25.0,1.1,1.5,1.3,0.1,0.0,-1.3,13.7,1.63,7.7,12.0,12.3,41.8,17.3,5.1
Patrick Patterson,OKC,F,3.6,37.4,33.6,0.7,1.7,0.5,0.3,0.2,-1.7,4.9,1.41,4.3,11.4,7.7,49.3,11.8,6.0
Nene,HOU,C-F,3.6,51.7,0.0,0.8,2.1,0.6,0.4,0.4,2.4,7.0,2.36,5.8,15.2,6.4,55.2,11.4,6.9
Andrew Bogut,GSW,C,3.5,50.0,0.0,1.1,3.9,1.0,0.3,0.7,0.9,10.4,1.38,10.0,29.7,14.3,52.3,14.8,9.2
Isaiah Briscoe,ORL,G,3.5,39.9,32.4,0.1,1.8,2.2,0.3,0.1,0.5,22.6,2.81,0.8,11.1,11.6,45.5,13.9,5.7
Wesley Johnson,WAS,F-G,3.4,35.2,32.9,0.3,1.6,0.6,0.4,0.3,-2.4,5.4,1.28,2.0,10.4,10.2,46.9,11.5,2.9
Jaylen Adams,ATL,G,3.2,34.5,33.8,0.3,1.4,1.9,0.4,0.1,-1.7,20.1,2.32,2.2,10.9,13.6,47.4,13.1,5.5
Tyson Chandler,LAL,C,3.1,61.6,0.0,1.7,3.9,0.7,0.4,0.4,-0.7,5.7,0.88,9.4,21.3,19.1,63.0,8.4,8.5
Dante Cunningham,SAS,F,3.0,47.5,46.2,0.8,2.2,0.8,0.4,0.2,-2.7,7.2,2.27,4.9,14.8,9.2,58.5,8.6,6.7
Gary Clark,HOU,F,2.9,33.1,29.7,0.5,1.8,0.4,0.4,0.5,0.5,4.0,2.57,3.5,14.4,3.9,48.0,10.6,6.1
Dairis Bertans,NOP,G,2.8,25.5,29.4,0.2,0.6,0.8,0.1,0.0,-4.2,7.8,5.0,1.1,3.6,3.4,36.2,12.0,1.3
Patrick McCaw,TOR,G,2.6,41.3,32.1,0.2,1.4,1.0,0.8,0.1,-2.1,9.9,1.71,1.7,10.5,14.7,53.2,9.3,4.9
Ryan Anderson,MIA,F,2.5,30.4,22.5,0.7,1.4,0.8,0.2,0.0,-2.9,8.8,1.36,5.5,11.2,12.8,41.4,12.0,3.6
Jose Calderon,DET,G,2.3,37.5,24.6,0.2,1.0,2.3,0.3,0.1,-3.5,28.2,3.29,1.5,7.8,12.8,45.3,10.4,5.6
Julian Washburn,MEM,F-G,2.2,33.3,20.8,0.4,1.8,0.8,0.7,0.1,-1.2,8.3,2.0,2.7,12.8,9.9,40.2,9.6,5.3
Quincy Acy,PHX,F,1.7,22.2,13.3,0.3,2.2,0.8,0.1,0.4,0.4,8.8,2.0,2.2,15.3,11.4,37.9,8.8,1.7
