PLAYER,TEAM,POSITION,PTS,FG%,3P%,OREB,DREB,AST,STL,BLK,+/-,AST%,AST/TO,OREB%,DREB%,TO RATIO,TS%,USG%,PIE
Langston Galloway,DET,G,8.4,38.8,35.5,0.6,1.5,1.1,0.5,0.1,0.5,7.2,3.54,2.5,7.0,3.3,53.4,15.3,6.3
Noah Vonleh,NYK,F,8.4,47.0,33.6,1.7,6.1,1.9,0.7,0.8,-4.3,10.8,1.47,6.0,23.4,12.1,56.1,14.4,10.4
DeAndre' Bembry,ATL,F,8.4,44.6,28.9,0.7,3.7,2.5,1.3,0.5,-2.8,15.0,1.42,2.6,14.8,13.9,50.8,16.8,8.1
Mikal Bridges,PHX,F,8.3,43.0,33.5,0.7,2.5,2.1,1.6,0.5,-4.7,9.7,2.47,2.3,8.5,8.2,55.6,11.9,6.4
Bruno Caboclo,MEM,F,8.3,42.7,36.9,1.2,3.4,1.5,0.4,1.0,0.0,9.1,1.32,5.0,13.7,11.4,57.1,15.0,7.8
Darius Miller,NOP,F,8.2,39.0,36.5,0.2,1.7,2.1,0.6,0.3,0.2,10.7,2.47,0.7,5.9,8.3,55.0,13.1,4.8
Jahlil Okafor,NOP,C,8.2,58.6,20.0,1.4,3.3,0.7,0.3,0.7,-2.0,6.4,0.77,8.4,19.6,10.7,60.3,19.8,11.5
Richaun Holmes,PHX,F-C,8.2,60.8,0.0,1.6,3.1,0.9,0.6,1.1,-2.5,8.2,1.15,9.5,17.3,9.5,64.7,17.4,12.5
Markelle Fultz,ORL,G,8.2,41.9,28.6,1.4,2.3,3.1,0.9,0.3,-0.4,21.2,2.36,5.6,8.8,9.8,45.2,18.9,6.9
Austin Rivers,HOU,G,8.1,40.6,31.8,0.3,1.8,2.2,0.6,0.3,1.4,12.0,2.46,1.2,6.5,8.0,50.3,14.2,4.2
Frank Jackson,NOP,G,8.1,43.4,31.4,0.4,1.8,1.1,0.4,0.0,-2.2,8.0,1.44,1.9,8.5,8.1,51.7,17.8,5.9
Isaiah Thomas,DEN,G,8.1,34.3,27.9,0.4,0.7,1.9,0.4,0.1,-1.8,19.8,1.28,2.3,4.0,11.8,43.7,27.4,3.9
Kyle Anderson,MEM,F,8.0,54.3,26.5,1.1,4.7,3.0,1.3,0.9,-1.4,15.5,2.21,3.8,16.1,11.9,56.9,12.7,9.9
