PLAYER,TEAM,POSITION,FGM_<5,FG%_<5,FGM_5-9,FG%_5-9,FGM_10-14,FG%_10-14,FGM_15-19,FG%_15-19,FGM_20-24,FG%_20-24,FGM_25-29,FG%_25-29
Jeremy Lamb,CHA,G,2.1,51.8,0.7,41.3,0.6,51.6,0.6,49.5,0.6,44.8,0.9,29.7
Kelly Oubre Jr.,PHX,F,2.8,57.3,0.5,38.6,0.3,53.8,0.2,44.4,0.7,34.6,0.9,31.5
Nikola Mirotic,MIL,F,1.8,63.8,0.3,57.1,0.2,41.7,0.2,30.3,0.9,35.7,1.8,37.9
Evan Fournier,ORL,G-F,2.1,59.4,0.5,44.0,0.5,41.7,0.5,50.6,1.0,39.1,1.2,31.0
Terrence Ross,ORL,G-F,0.7,64.0,0.2,51.4,0.4,46.5,1.1,44.2,1.0,39.9,2.0,38.7
Dwyane Wade,MIA,G,2.4,60.7,0.6,41.1,0.8,39.4,0.6,33.6,0.7,37.7,0.6,28.8
Serge Ibaka,TOR,C-F,2.9,72.6,0.8,46.6,0.8,49.1,0.8,49.2,0.5,42.4,0.4,26.4
Marvin Bagley III,SAC,F,3.4,63.4,1.0,43.8,0.5,40.0,0.4,41.7,0.1,21.6,0.4,35.9
Emmanuel Mudiay,NYK,G,2.3,51.5,0.5,42.9,0.9,50.9,0.7,48.3,0.4,29.8,0.8,35.1
Jabari Parker,WAS,F,3.4,66.1,0.4,47.4,0.3,38.5,0.5,41.7,0.7,37.1,0.4,25.5
Kyle Lowry,TOR,G,1.5,61.6,0.1,39.1,0.2,37.8,0.3,48.8,0.7,35.7,1.7,32.9
Bobby Portis,WAS,F,2.4,55.3,0.9,42.5,0.4,44.4,0.3,27.7,0.4,30.1,1.2,42.3
Bogdan Bogdanovic,SAC,G,1.6,56.0,0.5,34.3,0.5,47.4,0.4,42.9,0.9,36.8,1.2,36.0
Domantas Sabonis,IND,F,4.0,69.6,0.7,48.7,0.2,32.0,0.5,42.7,0.1,33.3,0.1,53.8
Marcus Morris Sr.,BOS,F,1.6,62.4,0.4,46.6,0.5,35.4,0.6,52.3,0.6,32.2,1.4,39.8
Otto Porter Jr.,CHI,F,1.4,65.0,0.5,56.3,0.6,42.5,0.7,41.2,1.2,44.2,1.0,36.9
Steven Adams,OKC,C,4.6,64.1,1.1,47.5,0.3,52.2,0.0,0.0,0.0,0.0,0.0,0.0
Jaren Jackson Jr.,MEM,F-C,3.0,66.7,0.9,39.7,0.3,40.9,0.1,33.3,0.2,23.6,0.7,43.7
Goran Dragic,MIA,G,2.2,54.4,0.3,34.3,0.6,37.0,0.3,34.6,0.6,34.9,1.0,33.3
Rudy Gay,SAS,F,1.7,60.0,0.7,42.4,1.0,57.4,0.8,51.5,0.8,47.4,0.5,36.7
Joe Harris,BKN,F-G,2.0,57.9,0.3,39.2,0.1,33.3,0.1,38.5,0.8,46.3,1.7,48.9
Caris LeVert,BKN,G,2.8,55.8,0.7,37.0,0.4,40.5,0.1,33.3,0.4,30.6,0.8,30.6
Enes Kanter,POR,C,4.7,63.7,0.4,31.1,0.1,29.0,0.1,36.0,0.0,18.2,0.1,33.3
Jerami Grant,OKC,F,3.2,63.3,0.2,26.6,0.1,34.4,0.1,37.9,1.0,41.0,0.5,36.9
Dennis Smith Jr.,NYK,G,2.9,56.4,0.2,29.5,0.2,25.7,0.5,49.1,0.6,31.6,0.8,30.8
Al Horford,BOS,C-F,2.3,68.8,0.8,55.3,0.5,49.3,0.8,55.8,0.4,35.3,0.9,39.7
Marc Gasol,TOR,C,1.4,60.3,1.0,47.9,0.6,36.6,0.5,41.1,0.5,47.6,0.9,33.3
Taurean Prince,ATL,F,1.5,61.5,0.3,39.5,0.4,36.4,0.3,40.5,1.3,42.4,1.0,37.1
Carmelo Anthony,HOU,F,1.3,61.9,0.2,40.0,0.5,45.5,0.5,50.0,0.4,18.2,2.0,39.2
